id,name,web_name,team,position,cost,total_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_per_game,cost_efficiency,form_per_cost,position_encoded
1,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,Midfielder,5.4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,2825,0,0,0.0,0.0,0.0,3.0
2,Gabriel Fernando de Jesus,G.Jesus,Arsenal,Forward,6.5,42,0.0,2.5,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,1.0,0.0,6.5,1238437,1409940,0,0,15.789473684210526,6.461538461538462,0.0,4.0
3,Gabriel dos Santos Magalhães,Gabriel,Arsenal,Defender,6.1,117,0.0,4.2,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,12.2,0.0,19.2,5093448,5431768,0,0,62.18421052631579,19.18032786885246,0.0,2.0
4,Kai Havertz,Havertz,Arsenal,Forward,7.7,97,0.5,4.2,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,6.2,0.1,12.6,2644355,3530099,0,0,49.26315789473684,12.597402597402597,0.06493506493506493,4.0
5,Karl Hein,Hein,Arsenal,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4643,0,0,0.0,0.0,0.0,1.0
6,Jurriën Timber,J.Timber,Arsenal,Defender,5.5,114,0.0,3.8,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,4.3,0.0,20.7,1963751,1640941,0,0,63.55263157894737,20.727272727272727,0.0,2.0
7,Jorge Luiz Frello Filho,Jorginho,Arsenal,Midfielder,4.6,20,0.5,1.3,701,0,0,2,7,0,0,0,5,0,0,0,112,44.8,88.8,8.0,14.2,0.2,0.1,4.3,30982,50584,0,0,18.44736842105263,4.347826086956522,0.10869565217391305,3.0
8,Jakub Kiwior,Kiwior,Arsenal,Defender,4.9,43,4.5,2.5,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,3.8,0.9,8.8,518152,114231,0,0,29.394736842105264,8.775510204081632,0.9183673469387754,2.0
9,Gabriel Martinelli Silva,Martinelli,Arsenal,Midfielder,6.5,125,2.5,3.8,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,3.1,0.4,19.2,1360840,1378390,0,0,60.10526315789474,19.23076923076923,0.38461538461538464,3.0
12,Ethan Nwaneri,Nwaneri,Arsenal,Midfielder,4.3,66,1.0,2.5,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,1.5,0.2,15.3,735728,604768,0,0,23.210526315789473,15.348837209302326,0.23255813953488372,3.0
13,Martin Ødegaard,Ødegaard,Arsenal,Midfielder,8.2,116,6.5,3.9,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,5.7,0.8,14.1,1245059,2244119,0,0,61.078947368421055,14.146341463414636,0.7926829268292683,3.0
15,David Raya Martin,Raya,Arsenal,Goalkeeper,5.6,142,4.5,3.7,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,32.6,0.8,25.4,4184559,3511572,0,0,90.0,25.357142857142858,0.8035714285714286,1.0
