id,name,web_name,team,team_id,position,cost,total_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,fdr_attack,fdr_defence,fdr_overall,fixtures_count,team_strength_attack,team_strength_defence,next_opponent,next_fixture_home,next_fixture_fdr,minutes_per_game,cost_efficiency,form_per_cost,fdr_adjusted_form,fdr_value_score,position_encoded,data_validation_warnings,transfer_risk,unavailable_player
1,David Raya Martín,Raya,Arsenal,1,Goalkeeper,5.5,10,10.0,10.0,90,0,0,1,0,0,0,0,1,0,7,3,38,49.8,0.0,0.0,5.0,17.9,1.8,1.8,79576,22640,79576,22640,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,2.3684210526315788,1.8181818181818181,1.8181818181818181,6.4,1.1636363636363636,1,0,low,False
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,1,Goalkeeper,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1311,4855,1311,4855,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.0,0.0,0.0,0.0,0.0,1,0,low,False
3,Karl Hein,Hein,Arsenal,1,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1735,1934,1735,1934,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.0,0.0,0.0,0.0,0.0,1,0,low,False
4,Tommy Setford,Setford,Arsenal,1,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,435,601,435,601,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.0,0.0,0.0,0.0,0.0,1,0,low,False
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,1,Defender,6.0,6,6.0,6.0,90,0,0,1,0,0,0,0,0,0,0,0,22,20.6,0.3,4.0,2.5,18.8,1.0,1.0,85473,30428,85473,30428,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,2.3684210526315788,1.0,1.0,3.8400000000000007,0.64,2,0,low,False
6,William Saliba,Saliba,Arsenal,1,Defender,6.0,9,9.0,9.0,90,0,0,1,0,0,0,0,0,0,0,1,25,31.6,0.1,0.0,3.2,14.8,1.5,1.5,73970,23555,73970,23555,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,2.3684210526315788,1.5,1.5,5.76,0.9600000000000002,2,0,low,False
7,Riccardo Calafiori,Calafiori,Arsenal,1,Defender,5.5,13,13.0,13.0,71,1,0,1,0,0,0,0,1,0,0,2,34,37.0,2.0,35.0,7.4,1.6,2.4,2.4,51811,5182,51811,5182,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,1.868421052631579,2.3636363636363638,2.3636363636363638,8.32,1.512727272727273,2,0,low,False
8,Jurriën Timber,J.Timber,Arsenal,1,Defender,5.5,0,0.0,0.0,19,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,2.2,0.0,0.0,7360,13890,7360,13890,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.5,0.0,0.0,0.0,0.0,2,0,low,False
9,Jakub Kiwior,Kiwior,Arsenal,1,Defender,5.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,186,787,186,787,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.0,0.0,0.0,0.0,0.0,2,0,low,False
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,1,Defender,5.5,0,0.0,0.0,18,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,4.3,0.0,0.0,13367,27197,13367,27197,2.4,3.0,2.8,5,1350.0,1295.0,Leeds,True,1,0.47368421052631576,0.0,0.0,0.0,0.0,2,0,low,False
